gene,log2FC,t,p,s2,s2_post,fdr
G027951,-0.4819657500000005,-4.9825040446967614,0.0024954863477691836,0.01871401743772497,0.01871401743814544,0.4783069503442497
OR10K1,0.8407496999999999,4.981889783762401,0.002497016663221559,0.05696068549812661,0.05696068549810152,0.4783069503442497
AC135782.3,-0.5447242750000001,-4.967474723194203,0.0025332363180561456,0.02404983620674957,0.024049836207107878,0.4783069503442497
RNF165,-0.5028445499999998,-4.965504627725429,0.002538232536972864,0.02051023841003914,0.020510238410438683,0.4783069503442497
AKAP7,-0.7055980000000006,-4.949037533299563,0.0025804332133802996,0.0406539906481225,0.040653990648287376,0.4783069503442497
TCAF2P1,-0.951561775,-4.945934662693166,0.0025884737554475188,0.07402990999659965,0.07402990999637572,0.4783069503442497
CATG00000079533.1,1.1098426000000003,4.9431537117846505,0.0025957042337490764,0.10081950158981905,0.10081950158928302,0.4783069503442497
CATG00000051284.1,-0.40416074999999907,-4.936433041316974,0.00261327267875101,0.013406387376958281,0.013406387377440578,0.4783069503442497
AL139021.2,0.4812371500000001,4.934922708269445,0.0026172393458831914,0.01901899559381832,0.019018995594235234,0.4783069503442497
ERBB2,0.3349479999999989,4.93121214117529,0.002627013607175019,0.009227358643916675,0.009227358644447656,0.4783069503442497
G030618,-1.306969999999998,-4.927964781014073,0.0026356016518885948,0.14067795383166665,0.14067795383066628,0.4783069503442497
AC025253.1,0.4810572249999989,4.912660818994427,0.0026765054585871167,0.019177408443962915,0.019177408444377982,0.4783069503442497
GNAI2,-0.29551825000000065,-4.906644130260014,0.0026927831977504994,0.007254867534291665,0.007254867534845624,0.4783069503442497
AC025572.1,0.5210770249999999,4.899279572948843,0.002712860352798956,0.02262400041004294,0.022624000410417858,0.4783069503442497
SLC2A13,-0.21296844999999998,-4.892842490951988,0.002730547991331491,0.003789117432525836,0.0037891174331201698,0.4783069503442497
TEX28,-0.18733474999999977,-4.890979267864466,0.0027356920538421604,0.002934100881958274,0.002934100882562568,0.4783069503442497
G048680,0.7711459999999999,4.887023191407654,0.0027466505851182483,0.04979828840975,0.04979828840980834,0.4783069503442497
CATG00000084562.1,-0.26775199999999977,-4.870296137744145,0.0027935381386770515,0.006044838526250008,0.006044838526818064,0.4783069503442497
OR51E1,1.475512375000001,4.867249795399321,0.002802174545164704,0.1838012400391147,0.18380124003761197,0.4783069503442497
AL139023.1,0.7165164249999991,4.864004276064336,0.0028114088978298877,0.043400466759694604,0.04340046675982748,0.4783069503442497
LINC02275,1.097992249999999,4.851452187025182,0.0028474486159648766,0.10244364769629151,0.10244364769573656,0.4783069503442497
COBLL1,-0.6367626250000002,-4.848562033656514,0.002855820758690085,0.03449524323302953,0.03449524323326615,0.4783069503442497
AX748369,0.8083558000000002,4.848505620775844,0.0028559844515178524,0.05559289702545664,0.05559289702544748,0.4783069503442497
ANKRD7,-0.7660962499999986,-4.844663371145892,0.002867158516166304,0.05001145124845823,0.05001145124851409,0.4783069503442497
AC078923.1,-0.5398979500000003,-4.840701523699993,0.0028787322486513943,0.024879218975589177,0.02487921897593782,0.4783069503442497
G064228,1.0088187499999997,4.840678275019676,0.0028788003208414883,0.08686480484212515,0.08686480484175169,0.4783069503442497
GSE61474_XLOC_011419,-0.7099428750000012,-4.8400618575844145,0.0028806058572901573,0.04303036018623297,0.04303036018637016,0.4783069503442497
CATG00000025709.1,0.3225267500000015,4.833699843953396,0.002899315781888324,0.008904347879625,0.008904347880159744,0.4783069503442497
SLC39A13,0.7383162500000005,4.824135514442059,0.0029277027280771436,0.04684636004112489,0.04684636004121763,0.4783069503442497
AC005972.3,-0.29290462500000203,-4.822252523244976,0.0029333284339826842,0.007378745922114636,0.007378745922667153,0.4783069503442497
