config,method,celltype,n,mean_pre,mean_post,sd_pre,sd_post,median_delta,wilcoxon_p
centBloodSub,CBS_svr_nu0.25,Neutro,65,0.7760044347859325,0.822022978260329,0.12926667783601384,0.09858877908814248,0.04298070217010186,0.005211120187555004
centBloodSub,CBS_svr_nu0.5,B,65,0.00920542626977932,0.007179695449975804,0.015573812645166614,0.013663841585366569,0.0,0.2525882922698065
centBloodSub,CBS_svr_nu0.5,CD4T,65,0.03850814088856217,0.03174303308410155,0.040868786479287794,0.03851796269111772,0.0,0.26276715045811594
centBloodSub,CBS_svr_nu0.5,CD8T,65,0.029489974212943554,0.01920816215754499,0.04785318940444697,0.031453676178084804,0.0,0.08641065497378003
centBloodSub,CBS_svr_nu0.5,Eosino,65,0.007438171109152356,0.00548906581357423,0.019382961281998352,0.016494263133131928,0.0,0.46030155637941883
centBloodSub,CBS_svr_nu0.5,Mono,65,0.09699990080757825,0.07528956231925041,0.04127490603971274,0.04448489102229509,-0.014834798515085373,0.00010232173971664284
centBloodSub,CBS_svr_nu0.5,NK,65,0.04968537503000576,0.043549809661301474,0.03635566341384139,0.033967403623784045,-0.00339812760425693,0.21268672932803978
centBloodSub,CBS_svr_nu0.5,Neutro,65,0.7686730116819785,0.8175406715142515,0.12070022152055765,0.09914949588691015,0.024730555654255193,0.0024541118053759115
centBloodSub,CP_nnls_norm,B,65,0.016269156374352774,0.012694601988889165,0.01801078152190414,0.016515176820737873,-0.0006431472265093332,0.08230618761875984
centBloodSub,CP_nnls_norm,CD4T,65,0.03858365879623941,0.028201626359594865,0.03882034235305802,0.034812565312008215,0.0,0.04947883185082109
centBloodSub,CP_nnls_norm,CD8T,65,0.025821683721438924,0.01714201539769232,0.04466592263063916,0.029981900134546283,-3.818973957814778e-05,0.030946394389827603
centBloodSub,CP_nnls_norm,Eosino,65,0.002260689537478472,0.0019335533780227296,0.011436196060092258,0.009376806128766926,0.0,0.916511907863894
centBloodSub,CP_nnls_norm,Mono,65,0.09751176823908289,0.07756952014991743,0.03932617459810679,0.04086755026879919,-0.014063029704011867,0.00011699219052822083
centBloodSub,CP_nnls_norm,NK,65,0.0751519141593114,0.06460648217470928,0.03665530563370871,0.03654956965346891,-0.008246708419086785,0.0025422483905393305
centBloodSub,CP_nnls_norm,Neutro,65,0.7444011291720961,0.7978522005511742,0.11696560441362532,0.09837302082068708,0.035829835089443596,0.0005803321591786517
centBloodSub,CP_penalty_K100,B,65,0.025596577479121536,0.021663784923196115,0.01955328012158211,0.017858202034231392,-0.00045441141426451337,0.08103711874892952
centBloodSub,CP_penalty_K100,CD4T,65,0.010156298429635252,0.007318053513950575,0.023001749818181972,0.020064836061250653,0.0,0.26043936484565566
centBloodSub,CP_penalty_K100,CD8T,65,0.07089628198893697,0.05257450490086186,0.051252883060606734,0.03766586371693432,-0.01605969342614323,0.0018395902522192773
centBloodSub,CP_penalty_K100,Eosino,65,0.000916737420758083,0.00046548058053047574,0.0066052366718633414,0.0027913162967891122,0.0,1.0
centBloodSub,CP_penalty_K100,Mono,65,0.0832562908128051,0.06328389216686409,0.03593934246950986,0.03837151834370587,-0.014780665497089396,6.803832905768777e-05
centBloodSub,CP_penalty_K100,NK,65,0.08239409598126113,0.07719231181760405,0.03136487544691114,0.03404184423636514,-0.00847601770936747,0.053473959188580784
centBloodSub,CP_penalty_K100,Neutro,65,0.7265297410137606,0.7772442916248871,0.10797284121704177,0.08946810143973015,0.035076305667562924,0.0003213125132662109
centBloodSub,CP_penalty_K1000,B,65,0.02564600067556795,0.021713219183340682,0.019560122179883652,0.017864787234096745,-0.00045483694153300447,0.07976323100353154
centBloodSub,CP_penalty_K1000,CD4T,65,0.010087463343071701,0.007263843535941671,0.022918989593641484,0.019993347604826302,0.0,0.26043936484565566
centBloodSub,CP_penalty_K1000,CD8T,65,0.07105761312229293,0.052713799905225345,0.05129644568467739,0.03771118676131842,-0.016054052296916067,0.001926826378113727
centBloodSub,CP_penalty_K1000,Eosino,65,0.0009126431890109729,0.0004608041978418697,0.006588857274900954,0.0027657971841543063,0.0,1.0
