perturbagen,n_signatures,n_cell_lines,median_net,max_net,min_fdr,median_z,frac_directional,n_sig_fdr05,rank_percentile
cyp2c9,1,1,0.6936374186012086,0.6936374186012086,0.026400509299397374,5.60381145257258,1.0,1,66.04606525911709
tnfrsf6b,1,1,0.6936374186012086,0.6936374186012086,0.026400509299397374,5.60381145257258,1.0,1,66.02687140115164
hsp90b1,1,1,0.6920654035521838,0.6920654035521838,0.15149965867427614,2.903024501160678,1.0,0,66.00767754318618
rp9,1,1,0.6912167036597159,0.6912167036597159,0.1517456958584345,2.8909119803249435,1.0,0,65.98848368522073
vps18,1,1,0.6908456863398909,0.6908456863398909,0.5568985299552306,0.6730011055685642,1.0,0,65.96928982725527
ip6k1,1,1,0.6895653473089673,0.6895653473089673,0.06161206499174737,4.275316470079531,1.0,0,65.95009596928982
rorb,1,1,0.6865199789884868,0.6865199789884868,0.06161206499174737,4.245089125909925,1.0,0,65.93090211132437
adam12,1,1,0.6860874401863999,0.6860874401863999,0.5568985299552306,0.6614273449495446,1.0,0,65.91170825335892
amigo3,1,1,0.6846349714656768,0.6846349714656768,0.061992738814088,4.217402023786165,1.0,0,65.89251439539348
mdc1,1,1,0.6842756965269481,0.6842756965269481,0.06243749179869886,4.204804609231556,1.0,0,65.87332053742803
adm,1,1,0.6841177695099723,0.6841177695099723,0.02161596926552986,5.905973910939715,1.0,1,65.85412667946258
pnkd,1,1,0.6835637008510007,0.6835637008510007,0.15238844460419523,2.878857691362331,1.0,0,65.83493282149713
hsd17b1,1,1,0.6834012952767793,0.6834012952767793,0.34157050579213477,1.3735176175082016,1.0,0,65.81573896353167
arl5c,1,1,0.6833964981163854,0.6833964981163854,0.5568985299552306,0.6539816895518645,1.0,0,65.79654510556622
reps2,1,1,0.6822371287398159,0.6822371287398159,0.036857544710274616,5.045692240016554,1.0,1,65.77735124760076
calu,1,1,0.6819559761879181,0.6819559761879181,0.08719246473981179,3.6750631411705537,1.0,0,65.75815738963531
ren,1,1,0.6819188597579994,0.6819188597579994,0.2747910713887607,1.8824925092149836,1.0,0,65.73896353166985
mctp1,1,1,0.6814951824951168,0.6814951824951168,0.03730400012736395,5.0091780472492236,1.0,1,65.7197696737044
il36g,1,1,0.680343291279877,0.680343291279877,0.15367927038777102,2.8463023543747936,1.0,0,65.70057581573896
fpr1,1,1,0.680332967286555,0.680332967286555,0.15367927038777102,2.8199920202109054,1.0,0,65.68138195777351
trib1,1,1,0.6803089893888359,0.6803089893888359,0.03726596714943416,5.013231816988179,1.0,1,65.66218809980806
mcam,1,1,0.6801198867698091,0.6801198867698091,0.036311049270143496,5.06666832109397,1.0,1,65.64299424184262
ubash3a,1,1,0.6797659488426664,0.6797659488426664,0.08433007494086854,3.760389856163118,1.0,0,65.62380038387717
dram1,1,1,0.6782771246625938,0.6782771246625938,0.0635889441217634,4.1810408895355655,1.0,0,65.60460652591172
rhobtb3,1,1,0.677310829771193,0.677310829771193,0.021721046445135634,5.845842287780488,1.0,1,65.58541266794626
cfp,1,1,0.6767860462284663,0.6767860462284663,0.2799030485294036,1.8459527823386102,1.0,0,65.56621880998081
ifna17,1,1,0.6766234982011623,0.6766234982011623,0.08719246473981179,3.6413840339270314,1.0,0,65.54702495201535
nek2,1,1,0.6761167930546105,0.6761167930546105,0.5568985299552306,0.6292478307050473,1.0,0,65.5278310940499
gbp7,1,1,0.6761167930546104,0.6761167930546104,0.18915440556449553,2.393403638260189,1.0,0,65.50863723608445
syngr1,1,1,0.6757686584689058,0.6757686584689058,0.15367927038777102,2.8109086688525906,1.0,0,65.48944337811899
ccr2,1,1,0.6754976430873125,0.6754976430873125,0.15367927038777102,2.7759313159338874,1.0,0,65.47024952015354
ly9,1,1,0.6754537520142199,0.6754537520142199,0.0010069129972903538,10.556984281715097,1.0,1,65.4510556621881
ptprc,1,1,0.674258979897582,0.674258979897582,0.15367927038777102,2.7992296121387943,1.0,0,65.43186180422265
fam129c,1,1,0.6737604410569159,0.6737604410569159,0.5568985299552306,0.6265808109452187,1.0,0,65.4126679462572
trim28,1,1,0.673472548931313,0.673472548931313,0.34157050579213477,1.3537585926028928,1.0,0,65.39347408829175
prdx1,1,1,0.6734725489313129,0.6734725489313129,0.5568985299552306,0.621976519841994,1.0,0,65.37428023032629
csf3,1,1,0.6734725489313129,0.6734725489313129,0.08719246473981179,3.6466180819482474,1.0,0,65.35508637236084
setd1b,1,1,0.6734725489313129,0.6734725489313129,0.18915440556449553,2.3799974079367043,1.0,0,65.3358925143954
acacb,1,1,0.6731351906944785,0.6731351906944785,0.15367927038777102,2.796993178849049,1.0,0,65.31669865642995
aurkb,1,1,0.6731079731813526,0.6731079731813526,0.5568985299552306,0.6232600307610557,1.0,0,65.29750479846449
cpvl,1,1,0.6730233780771542,0.6730233780771542,0.2799030485294036,1.8284709230309013,1.0,0,65.27831094049904
