gene,chrom,n_snps,min_p,score
ISOC1,5,200,0.015105,1.8208792703907006
ISOC2,19,159,0.00471238,2.326759695884586
IST1,16,241,0.0281572,1.5504105343668964
ISX,22,285,0.00284106,2.5465195943679624
ISY1,3,153,0.0177971,1.749650759298108
ISY1-RAB43,3,288,0.0177971,1.749650759298108
ISYNA1,19,91,0.109178,0.961864865671379
ITCH,20,424,0.00570821,2.243500057953403
ITFG1,16,666,0.0137471,1.8617889081487256
ITFG1-AS1,16,67,0.0510282,1.2921897509672957
ITFG2,12,203,0.0170184,1.7690812729138568
ITFG2-AS1,12,324,0.00962654,2.0165297802607336
ITGA1,5,953,0.00430229,2.3663003189241674
ITGA10,1,68,0.0260615,1.5840005915791036
ITGA11,15,773,0.00270601,2.5676706028097946
ITGA2,5,667,0.0167209,1.7767403504308303
ITGA2B,17,73,0.000349422,3.456649754825855
ITGA3,17,213,0.00276357,2.558529530456654
ITGA4,2,445,0.011245,1.949040540228349
ITGA5,12,133,0.0123954,1.9067394539716103
ITGA6,2,594,0.00295379,2.52962038413684
ITGA6-AS1,2,145,0.0138494,1.8585690412084543
ITGA7,12,150,0.00342342,2.4655398164645463
ITGA8,10,1065,0.00679282,2.16794989343849
ITGA9,3,1752,0.00149135,2.826420421449271
ITGA9-AS1,3,489,0.00623175,2.205389977639452
ITGAD,16,131,0.0260849,1.5836108238651807
ITGAE,17,697,0.00515775,2.2875397122662773
ITGAL,16,182,0.0245827,1.6093704188171902
ITGAM,16,337,0.00317227,2.498629855868985
ITGAV,2,305,0.00569364,2.24460999608547
ITGAX,16,132,0.00130335,2.8849389437214286
ITGB1,10,370,0.00129045,2.889258818043608
ITGB1BP1,2,172,0.0238084,1.623269789581231
ITGB2,21,405,0.00112238,2.9498600807243736
ITGB2-AS1,21,174,0.00516904,2.286590107083216
ITGB3,17,381,0.020957,1.6786708866069804
ITGB3BP,1,359,0.00102851,2.987791481389086
ITGB4,17,181,0.00755544,2.1217402389347817
